Outcode,Incode,LDZ,Exit Zone
AA14,1AA,NO,NO1
AA16,1AA,NO,NO1
AA32,1AA,NO,NO1
AA41,1AA,NO,NO1
AA43,1AA,NO,NO1
BD1,1BA,NE,NE1
BD1,1DD,NE,NE1
BD1,1DF,NE,NE1
BD1,1DH,NE,NE1
BD1,1DP,NE,NE1
BD1,1DR,NE,NE1
BD1,1DT,NE,NE1
BD1,1DU,NE,NE1
BD1,1ED,NE,NE1
BD1,1HN,NE,NE1
BD1,1JY,NE,NE1
BD1,1LD,NE,NE1
BD1,1LT,NE,NE1
BD1,1NL,NE,NE1
BD1,1QE,NE,NE1
BD1,1QH,NE,NE1
BD1,1TR,NE,NE1
BD1,1US,NE,NE1
BD1,1VV,NE,NE1
BD1,2AE,NE,NE1
BD1,2AL,NE,NE1
BD1,2AP,NE,NE1
BD1,2AR,NE,NE1
BD1,2AS,NE,NE1
BD1,2AU,NE,NE1
BD1,2BS,NE,NE1
BD1,2DA,NE,NE1
BD1,2DF,NE,NE1
BD1,2EB,NE,NE1
BD1,2EF,NE,NE1
BD1,2EL,NE,NE1
BD1,2HX,NE,NE1
BD1,2JE,NE,NE1
BD1,2JQ,NE,NE1
BD1,2LT,NE,NE1
BD1,2LW,NE,NE1
BD1,2NA,NE,NE1
BD1,2NP,NE,NE1
BD1,2PA,NE,NE1
BD1,2QB,NE,NE1
BD1,2QJ,NE,NE1
BD1,2QX,NE,NE1
BD1,2RS,NE,NE1
BD1,2SF,NE,NE1
BD1,2SU,NE,NE1
BD1,2TD,NE,NE1
BD1,3AN,NE,NE1
BD1,3AP,NE,NE1
BD1,3DT,NE,NE1
BD1,3DU,NE,NE1
BD1,3DY,NE,NE1
BD1,3EF,NE,NE1
BD1,3JG,NE,NE1
BD1,3JJ,NE,NE1
BD1,3JQ,NE,NE1
BD1,3LF,NE,NE1
BD1,3PU,NE,NE1
BD1,3QF,NE,NE1
BD1,3TA,NE,NE1
BD1,3TY,NE,NE1
BD1,3VV,NE,NE1
BD1,4AD,NE,NE1
BD1,4AF,NE,NE1
BD1,4DB,NE,NE1
BD1,4DF,NE,NE1
BD1,4ET,NE,NE1
BD1,4EZ,NE,NE1
BD1,4HL,NE,NE1
BD1,4HY,NE,NE1
BD1,4JA,NE,NE1
BD1,4NR,NE,NE1
BD1,4PT,NE,NE1
BD1,4QW,NE,NE1
BD1,4RE,NE,NE1
BD1,4RJ,NE,NE1
BD1,4RR,NE,NE1
BD1,4RZ,NE,NE1
BD1,4SG,NE,NE1
BD1,4SH,NE,NE1
BD1,4SU,NE,NE1
BD1,4SW,NE,NE1
BD1,4SZ,NE,NE1
BD1,4TR,NE,NE1
BD1,4TW,NE,NE1
BD1,4VV,NE,NE1
BD1,5BU,NE,NE1
BD1,5ED,NE,NE1
BD1,5HF,NE,NE1
BD1,5HY,NE,NE1
BD1,5JD,NE,NE1
BD1,5LP,NE,NE1
BD1,5PZ,NE,NE1
BD1,5TA,NE,NE1
BD1,5VV,NE,NE1
BD1,1DA,NE,NE1
BD1,1EE,NE,NE1
BD1,1EG,NE,NE1
BD1,1EJ,NE,NE1
BD1,1EY,NE,NE1
BD1,1EZ,NE,NE1
BD1,1HX,NE,NE1
BD1,1HY,NE,NE1
BD1,1JA,NE,NE1
BD1,1JD,NE,NE1
BD1,1JE,NE,NE1
BD1,1JL,NE,NE1
BD1,1JN,NE,NE1
BD1,1JR,NE,NE1
BD1,1JT,NE,NE1
BD1,1JU,NE,NE1
BD1,1JX,NE,NE1
BD1,1LH,NE,NE1
BD1,1LN,NE,NE1
BD1,1LW,NE,NE1
BD1,1NE,NE,NE1
BD1,1NN,NE,NE1
BD1,1NQ,NE,NE1
BD1,1NT,NE,NE1
BD1,1PH,NE,NE1
BD1,1PJ,NE,NE1
BD1,1PP,NE,NE1
BD1,1PR,NE,NE1
BD1,1PT,NE,NE1
BD1,1PU,NE,NE1
BD1,1PZ,NE,NE1
BD1,1QB,NE,NE1
BD1,1QD,NE,NE1
BD1,1QL,NE,NE1
BD1,1QP,NE,NE1
BD1,1QR,NE,NE1
BD1,1QS,NE,NE1
BD1,1QT,NE,NE1
BD1,1RA,NE,NE1
BD1,1RB,NE,NE1
BD1,1RD,NE,NE1
BD1,1RE,NE,NE1
BD1,1RJ,NE,NE1
BD1,1SD,NE,NE1
BD1,1SQ,NE,NE1
BD1,1SW,NE,NE1
BD1,1SX,NE,NE1
BD1,1SZ,NE,NE1
BD1,1TE,NE,NE1
BD1,1TF,NE,NE1
BD1,1TQ,NE,NE1
BD1,1TS,NE,NE1
BD1,1TU,NE,NE1
BD1,1UA,NE,NE1
BD1,1UG,NE,NE1
BD1,2AA,NE,NE1
BD1,2AB,NE,NE1
BD1,2AJ,NE,NE1
BD1,2AQ,NE,NE1
BD1,2AT,NE,NE1
BD1,2AW,NE,NE1
BD1,2AY,NE,NE1
BD1,2AZ,NE,NE1
BD1,2BX,NE,NE1
BD1,2DG,NE,NE1
BD1,2DX,NE,NE1
BD1,2EE,NE,NE1
BD1,2EP,NE,NE1
BD1,2ER,NE,NE1
BD1,2HA,NE,NE1
BD1,2HB,NE,NE1
BD1,2HF,NE,NE1
BD1,2HJ,NE,NE1
BD1,2HP,NE,NE1
BD1,2HQ,NE,NE1
BD1,2HR,NE,NE1
BD1,2HS,NE,NE1
BD1,2HY,NE,NE1
BD1,2JA,NE,NE1
BD1,2JB,NE,NE1
BD1,2JD,NE,NE1
BD1,2JH,NE,NE1
BD1,2JL,NE,NE1
BD1,2JN,NE,NE1
BD1,2JS,NE,NE1
BD1,2JT,NE,NE1
BD1,2JX,NE,NE1
BD1,2JY,NE,NE1
BD1,2LA,NE,NE1
BD1,2LB,NE,NE1
BD1,2LD,NE,NE1
BD1,2LF,NE,NE1
BD1,2LG,NE,NE1
BD1,2LJ,NE,NE1
BD1,2LL,NE,NE1
BD1,2LQ,NE,NE1
BD1,2LU,NE,NE1
BD1,2LY,NE,NE1
BD1,2ND,NE,NE1
BD1,2NE,NE,NE1
BD1,2NF,NE,NE1
BD1,2NJ,NE,NE1
BD1,2NT,NE,NE1
BD1,2NU,NE,NE1
BD1,2PF,NE,NE1
BD1,2PG,NE,NE1
BD1,2PJ,NE,NE1
BD1,2PL,NE,NE1
BD1,2PN,NE,NE1
BD1,2PP,NE,NE1
BD1,2PR,NE,NE1
BD1,2PS,NE,NE1
BD1,2PU,NE,NE1
BD1,2PW,NE,NE1
