Outcode,Incode,LDZ,Exit Zone,LPG Indicator
AA3,3AA,SW,SW2,
AA62,1AA,WS,WA2,
AA66,1AA,WS,WA2,
AA67,1AA,WS,WA2,
B50,1VV,SW,SW1,
B50,4AA,SW,SW1,
B50,4AB,SW,SW1,
B50,4AD,SW,SW1,
B50,4AE,SW,SW1,
B50,4AF,SW,SW1,
B50,4AG,SW,SW1,
B50,4AH,SW,SW1,
B50,4AJ,SW,SW1,
B50,4AL,SW,SW1,
B50,4AN,SW,SW1,
B50,4AP,SW,SW1,
B50,4AQ,SW,SW1,
B50,4AR,SW,SW1,
B50,4AS,SW,SW1,
B50,4AT,SW,SW1,
B50,4AU,SW,SW1,
B50,4AW,SW,SW1,
B50,4AX,SW,SW1,
B50,4AY,SW,SW1,
B50,4BA,SW,SW1,
B50,4BB,SW,SW1,
B50,4BD,SW,SW1,
B50,4BE,SW,SW1,
B50,4BF,SW,SW1,
B50,4BG,SW,SW1,
B50,4BH,SW,SW1,
B50,4BJ,SW,SW1,
B50,4BL,SW,SW1,
B50,4BN,SW,SW1,
B50,4BQ,SW,SW1,
B50,4BS,SW,SW1,
B50,4BT,SW,SW1,
B50,4BU,SW,SW1,
B50,4BW,SW,SW1,
B50,4BX,SW,SW1,
B50,4BY,SW,SW1,
B50,4BZ,SW,SW1,
B50,4DA,SW,SW1,
B50,4DB,SW,SW1,
B50,4DD,SW,SW1,
B50,4DE,SW,SW1,
B50,4DF,SW,SW1,
B50,4DG,SW,SW1,
B50,4DH,SW,SW1,
B50,4DJ,SW,SW1,
B50,4DL,SW,SW1,
B50,4DN,SW,SW1,
B50,4DP,SW,SW1,
B50,4DQ,SW,SW1,
B50,4DR,SW,SW1,
B50,4DS,SW,SW1,
B50,4DT,SW,SW1,
B50,4DU,SW,SW1,
B50,4DW,SW,SW1,
B50,4DX,SW,SW1,
B50,4DY,SW,SW1,
B50,4DZ,SW,SW1,
B50,4EA,SW,SW1,
B50,4EB,SW,SW1,
B50,4ED,SW,SW1,
B50,4EE,SW,SW1,
B50,4EF,SW,SW1,
B50,4EG,SW,SW1,
B50,4EH,SW,SW1,
B50,4EJ,SW,SW1,
B50,4EL,SW,SW1,
B50,4EN,SW,SW1,
B50,4EP,SW,SW1,
B50,4EQ,SW,SW1,
B50,4EU,SW,SW1,
B50,4EW,SW,SW1,
B50,4EX,SW,SW1,
B50,4EY,SW,SW1,
B50,4EZ,SW,SW1,
B50,4FW,SW,SW1,
B50,4FX,SW,SW1,
B50,4GZ,SW,SW1,
B50,4HB,SW,SW1,
B50,4HE,SW,SW1,
B50,4HF,SW,SW1,
B50,4HG,SW,SW1,
B50,4HH,SW,SW1,
B50,4HJ,SW,SW1,
B50,4HL,SW,SW1,
B50,4HN,SW,SW1,
B50,4HP,SW,SW1,
B50,4HQ,SW,SW1,
B50,4HR,SW,SW1,
B50,4HS,SW,SW1,
B50,4HT,SW,SW1,
B50,4HW,SW,SW1,
B50,4HY,SW,SW1,
B50,4HZ,SW,SW1,
B50,4JA,SW,SW1,
B50,4JD,SW,SW1,
B50,4JH,SW,SW1,
B50,4JL,SW,SW1,
B50,4JQ,SW,SW1,
B50,4NA,SW,SW1,
B50,4NG,SW,SW1,
B50,4NJ,SW,SW1,
B50,4NL,SW,SW1,
B50,4NN,SW,SW1,
B50,4NR,SW,SW1,
B50,4NS,SW,SW1,
B50,4NT,SW,SW1,
B50,4NU,SW,SW1,
B50,4NX,SW,SW1,
B50,4NY,SW,SW1,
B50,4PG,SW,SW1,
B50,4PJ,SW,SW1,
B50,4PP,SW,SW1,
B50,4QA,SW,SW1,
B50,4QB,SW,SW1,
B50,4QD,SW,SW1,
B50,4QE,SW,SW1,
B50,4QF,SW,SW1,
B50,4VV,SW,SW1,
B50,4NQ,SW,SW1,
BA1,1AA,SW,SW2,
BA1,1AJ,SW,SW2,
BA1,1AQ,SW,SW2,
BA1,1AR,SW,SW2,
BA1,1AU,SW,SW2,
BA1,1AW,SW,SW2,
BA1,1AZ,SW,SW2,
BA1,1BA,SW,SW2,
BA1,1BE,SW,SW2,
BA1,1BH,SW,SW2,
BA1,1BL,SW,SW2,
BA1,1BN,SW,SW2,
BA1,1BP,SW,SW2,
BA1,1BW,SW,SW2,
BA1,1BZ,SW,SW2,
BA1,1DA,SW,SW2,
BA1,1DD,SW,SW2,
BA1,1DE,SW,SW2,
BA1,1DG,SW,SW2,
BA1,1DN,SW,SW2,
BA1,1DP,SW,SW2,
BA1,1DS,SW,SW2,
BA1,1DU,SW,SW2,
BA1,1DX,SW,SW2,
BA1,1EB,SW,SW2,
BA1,1EF,SW,SW2,
BA1,1EL,SW,SW2,
BA1,1EN,SW,SW2,
BA1,1EP,SW,SW2,
BA1,1EQ,SW,SW2,
BA1,1ET,SW,SW2,
BA1,1EW,SW,SW2,
BA1,1EX,SW,SW2,
BA1,1EY,SW,SW2,
BA1,1EZ,SW,SW2,
BA1,1HA,SW,SW2,
BA1,1HB,SW,SW2,
BA1,1HD,SW,SW2,
BA1,1HE,SW,SW2,
BA1,1HF,SW,SW2,
BA1,1HG,SW,SW2,
BA1,1HH,SW,SW2,
BA1,1HJ,SW,SW2,
BA1,1HL,SW,SW2,
BA1,1HN,SW,SW2,
BA1,1HQ,SW,SW2,
BA1,1HU,SW,SW2,
BA1,1HX,SW,SW2,
BA1,1HY,SW,SW2,
BA1,1HZ,SW,SW2,
BA1,1JB,SW,SW2,
BA1,1JD,SW,SW2,
BA1,1JG,SW,SW2,
BA1,1JJ,SW,SW2,
BA1,1JN,SW,SW2,
BA1,1JP,SW,SW2,
BA1,1JQ,SW,SW2,
BA1,1JR,SW,SW2,
BA1,1JT,SW,SW2,
BA1,1JU,SW,SW2,
BA1,1JW,SW,SW2,
BA1,1JX,SW,SW2,
BA1,1JZ,SW,SW2,
BA1,1LA,SW,SW2,
BA1,1LB,SW,SW2,
BA1,1LF,SW,SW2,
BA1,1LJ,SW,SW2,
BA1,1LN,SW,SW2,
BA1,1LP,SW,SW2,
BA1,1LT,SW,SW2,
BA1,1LW,SW,SW2,
BA1,1LY,SW,SW2,
BA1,1LZ,SW,SW2,
BA1,1ND,SW,SW2,
BA1,1NE,SW,SW2,
BA1,1NF,SW,SW2,
BA1,1NG,SW,SW2,
BA1,1NH,SW,SW2,
BA1,1NL,SW,SW2,
BA1,1NN,SW,SW2,
BA1,1NP,SW,SW2,
BA1,1NR,SW,SW2,
